time,tvlusd,tvleth,dai
2019-09-29 02:00:00,270122949,1528449.8896621966,
2019-09-28 02:00:00,269410548,1529959.3844057017,
2019-09-27 02:00:00,254985249,1525944.039497307,
2019-09-26 02:00:00,256671871,1498813.8452554746,
2019-09-25 02:00:00,251870168,1506851.139694885,
2019-09-24 02:00:00,307930635,1517049.1427726871,
2019-09-23 02:00:00,324266832,1520452.1592347727,
2019-09-22 02:00:00,330255737,1520234.4733934817,
2019-09-21 02:00:00,333703793,1520221.3703248145,
2019-09-20 02:00:00,337300821,1519646.8778158226,
2019-09-19 02:00:00,321637864,1520243.2480975564,
2019-09-18 02:00:00,318560794,1521157.4539203516,
2019-09-17 02:00:00,302362048,1515067.6354161447,
2019-09-16 02:00:00,290434284,1510711.490247074,
2019-09-15 02:00:00,275029846,1445775.356147821,
2019-09-14 02:00:00,262990558,1442308.643194033,
2019-09-13 02:00:00,262186903,1442568.9298486933,
2019-09-12 02:00:00,258559875,1441890.8933749723,
2019-09-11 02:00:00,260873552,1440733.1529242834,
2019-09-10 02:00:00,261395476,1439560.942835114,
2019-09-09 02:00:00,262301734,1435303.6060191519,
2019-09-08 02:00:00,256972337,1432398.75696767,
2019-09-07 02:00:00,243376067,1432045.1132686085,
2019-09-06 02:00:00,250080647,1430994.7756923782,
2019-09-05 02:00:00,251559950,1432165.9550241958,
2019-09-04 02:00:00,256713006,1431192.5405586218,
2019-09-03 02:00:00,255299470,1425696.4874071593,
2019-09-02 02:00:00,245085567,1424170.8815154862,
2019-09-01 02:00:00,248501051,1427838.720983682,
2019-08-31 02:00:00,242066075,1428877.1324006848,
2019-08-30 02:00:00,242789094,1430105.990457678,
2019-08-29 02:00:00,247618903,1423915.4859114434,
2019-08-28 02:00:00,265410910,1407866.061956291,
2019-08-27 02:00:00,263666400,1397278.2193958666,
2019-08-26 02:00:00,261947037,1396157.3233130795,
2019-08-25 02:00:00,267991387,1396370.2949145478,
2019-08-24 02:00:00,272844383,1395837.6374891289,
2019-08-23 02:00:00,267382446,1398663.2107548257,
2019-08-22 02:00:00,262471990,1399029.8491551622,
2019-08-21 02:00:00,275557789,1399338.7619337803,
2019-08-20 02:00:00,284362466,1399697.115573932,
2019-08-19 02:00:00,273494485,1399664.713408393,
2019-08-18 02:00:00,260554862,1399252.7898609096,
2019-08-17 02:00:00,260024532,1400013.6326926183,
2019-08-16 02:00:00,263992599,1398414.0216124589,
2019-08-15 02:00:00,253656259,1357321.591395548,
2019-08-14 02:00:00,281652497,1348652.063780885,
2019-08-13 02:00:00,282516009,1338177.3825312618,
2019-08-12 02:00:00,290133651,1336775.0230372283,
2019-08-11 02:00:00,275649750,1334542.4836601308,
