time,tvlusd,tvleth,category
2019-09-20,494051239,2225857.0868624975,lending
2019-09-19,472820319,2234817.4079500875,lending
2019-09-18,468494764,2237106.121669373,lending
2019-09-17,448817513,2248922.748910157,lending
2019-09-16,436931691,2272726.611183355,lending
2019-09-15,427743871,2248561.5886032702,lending
2019-09-14,410186311,2249568.4490512228,lending
2019-09-13,408910823,2249853.2214580476,lending
2019-09-12,402122675,2242486.4766897163,lending
2019-09-11,404842580,2235834.649583034,lending
2019-09-10,405490308,2233122.0839299485,lending
2019-09-09,407799981,2231463.644322845,lending
2019-09-08,399945667,2229351.544035674,lending
2019-09-07,381525117,2244925.6663724626,lending
2019-09-06,388640324,2223851.705195697,lending
2019-09-05,389897823,2219742.8010247652,lending
2019-09-04,398011537,2218941.5008083847,lending
2019-09-03,396335290,2213298.095716759,lending
2019-09-02,380710889,2212277.8139345692,lending
2019-09-01,382986643,2200566.7834980465,lending
2019-08-31,374241025,2209084.617200874,lending
2019-08-30,368572410,2171010.2491606288,lending
2019-08-29,373050508,2145201.3110983325,lending
2019-08-28,399084754,2116935.890091237,lending
2019-08-27,396982172,2103774.0964493905,lending
2019-08-26,392897210,2094111.5552712933,lending
2019-08-25,400984570,2089331.85702376,lending
2019-08-24,407764530,2086072.1849900242,lending
2019-08-23,399173244,2088053.795051525,lending
